TIME,GEO,CEPAREMA,UNIT,Value
2019,Switzerland,Waste management,Million euro,486.10
2019,United Kingdom,Waste management,Million euro,
2019,Serbia,Waste management,Million euro,0.80
2019,Turkiye,Waste management,Million euro,48.40
2020,European Union,Waste management,Million euro,4917.60
2020,Belgium,Waste management,Million euro,
2020,Bulgaria,Waste management,Million euro,
2020,Czechia,Waste management,Million euro,
2020,Denmark,Waste management,Million euro,1.60
2020,Germany,Waste management,Million euro,
2020,Estonia,Waste management,Million euro,
2020,Ireland,Waste management,Million euro,
2020,Greece,Waste management,Million euro,
2020,Spain,Waste management,Million euro,285.00
2020,France,Waste management,Million euro,
2020,Croatia,Waste management,Million euro,
2020,Italy,Waste management,Million euro,318.00
2020,Cyprus,Waste management,Million euro,
2020,Latvia,Waste management,Million euro,
2020,Lithuania,Waste management,Million euro,
2020,Luxembourg,Waste management,Million euro,
2020,Hungary,Waste management,Million euro,
2020,Malta,Waste management,Million euro,
2020,Netherlands,Waste management,Million euro,
2020,Austria,Waste management,Million euro,
2020,Poland,Waste management,Million euro,
2020,Portugal,Waste management,Million euro,
2020,Romania,Waste management,Million euro,60.60
2020,Slovenia,Waste management,Million euro,
2020,Slovakia,Waste management,Million euro,
2020,Finland,Waste management,Million euro,
2020,Sweden,Waste management,Million euro,
2020,Iceland,Waste management,Million euro,3.70
2020,Norway,Waste management,Million euro,81.40
2020,Switzerland,Waste management,Million euro,516.80
2020,United Kingdom,Waste management,Million euro,
2020,Serbia,Waste management,Million euro,
2020,Turkiye,Waste management,Million euro,50.40
2021,European Union,Waste management,Million euro,4990.50
2021,Belgium,Waste management,Million euro,
2021,Bulgaria,Waste management,Million euro,
2021,Czechia,Waste management,Million euro,
2021,Denmark,Waste management,Million euro,
2021,Germany,Waste management,Million euro,
2021,Estonia,Waste management,Million euro,
2021,Ireland,Waste management,Million euro,
2021,Greece,Waste management,Million euro,
2021,Spain,Waste management,Million euro,
2021,France,Waste management,Million euro,
2021,Croatia,Waste management,Million euro,
2021,Italy,Waste management,Million euro,
2021,Cyprus,Waste management,Million euro,
2021,Latvia,Waste management,Million euro,
2021,Lithuania,Waste management,Million euro,
2021,Luxembourg,Waste management,Million euro,
2021,Hungary,Waste management,Million euro,
2021,Malta,Waste management,Million euro,
2021,Netherlands,Waste management,Million euro,
2021,Austria,Waste management,Million euro,
2021,Poland,Waste management,Million euro,
2021,Portugal,Waste management,Million euro,
2021,Romania,Waste management,Million euro,
2021,Slovenia,Waste management,Million euro,
2021,Slovakia,Waste management,Million euro,
2021,Finland,Waste management,Million euro,
2021,Sweden,Waste management,Million euro,
2021,Iceland,Waste management,Million euro,
2021,Norway,Waste management,Million euro,
2021,Switzerland,Waste management,Million euro,
2021,United Kingdom,Waste management,Million euro,
2021,Serbia,Waste management,Million euro,
2021,Turkiye,Waste management,Million euro,
